,porosity_orig,porosity_perc,g,tau,volume,length,axis,time,slice
0,0.913,0.913,9.406473764688915,1.0784534883333015,1000,,0,0.03397247596876696,"(slice(121, 131, None), slice(143, 153, None), slice(108, 118, None))"
1,0.913,0.913,10.01145936229502,1.0132832864157917,1000,,1,0.02559012797428295,"(slice(121, 131, None), slice(143, 153, None), slice(108, 118, None))"
2,0.913,0.913,8.815336738703168,1.1507721990818471,1000,,2,0.024720360001083463,"(slice(121, 131, None), slice(143, 153, None), slice(108, 118, None))"
3,0.713,0.713,2.5828776228964587,3.067207734502799,1000,,0,0.023962850973475724,"(slice(22, 32, None), slice(118, 128, None), slice(100, 110, None))"
4,0.713,0.713,6.762471553332655,1.1714980476802188,1000,,1,0.022773479984607548,"(slice(22, 32, None), slice(118, 128, None), slice(100, 110, None))"
5,0.713,0.713,7.4596697160241305,1.06200710270114,1000,,2,0.023756052018143237,"(slice(22, 32, None), slice(118, 128, None), slice(100, 110, None))"
6,0.085,0.0,0.0,inf,1000,,0,0.013023433974012733,"(slice(213, 223, None), slice(74, 84, None), slice(201, 211, None))"
7,0.085,0.085,0.6601843410657544,1.430576864213109,1000,,1,0.01863596902694553,"(slice(213, 223, None), slice(74, 84, None), slice(201, 211, None))"
8,0.085,0.085,0.288985621997457,3.2681364488533458,1000,,2,0.01847648900002241,"(slice(213, 223, None), slice(74, 84, None), slice(201, 211, None))"
9,0.0,0.0,0.0,inf,1000,,0,0.012810683052521199,"(slice(188, 198, None), slice(188, 198, None), slice(68, 78, None))"
10,0.0,0.0,0.0,inf,1000,,1,0.012705543951597065,"(slice(188, 198, None), slice(188, 198, None), slice(68, 78, None))"
11,0.0,0.0,0.0,inf,1000,,2,0.0128855420043692,"(slice(188, 198, None), slice(188, 198, None), slice(68, 78, None))"
12,0.0,0.0,0.0,inf,1000,,0,0.01303536701016128,"(slice(159, 169, None), slice(259, 269, None), slice(158, 168, None))"
13,0.0,0.0,0.0,inf,1000,,1,0.013006722030695528,"(slice(159, 169, None), slice(259, 269, None), slice(158, 168, None))"
14,0.0,0.0,0.0,inf,1000,,2,0.012677551014348865,"(slice(159, 169, None), slice(259, 269, None), slice(158, 168, None))"
15,0.152,0.0,0.0,inf,1000,,0,0.012662130000535399,"(slice(278, 288, None), slice(24, 34, None), slice(62, 72, None))"
16,0.152,0.152,1.2650523786215695,1.3350347522599353,1000,,1,0.019265754031948745,"(slice(278, 288, None), slice(24, 34, None), slice(62, 72, None))"
17,0.152,0.0,0.0,inf,1000,,2,0.012635570019483566,"(slice(278, 288, None), slice(24, 34, None), slice(62, 72, None))"
18,0.33,0.33,0.34075842971682263,10.760310961973099,1000,,0,0.02100767701631412,"(slice(193, 203, None), slice(285, 295, None), slice(209, 219, None))"
19,0.33,0.33,1.5528671750152734,2.361223629207439,1000,,1,0.021109901019372046,"(slice(193, 203, None), slice(285, 295, None), slice(209, 219, None))"
20,0.33,0.33,1.5509945577606492,2.364074489056015,1000,,2,0.020648418983910233,"(slice(193, 203, None), slice(285, 295, None), slice(209, 219, None))"
21,0.819,0.819,7.9689247082793395,1.1419357483131352,1000,,0,0.022734326019417495,"(slice(33, 43, None), slice(107, 117, None), slice(143, 153, None))"
22,0.819,0.819,7.331882246151604,1.2411546850437285,1000,,1,0.0239208159619011,"(slice(33, 43, None), slice(107, 117, None), slice(143, 153, None))"
23,0.819,0.819,7.876724809051969,1.155302517302907,1000,,2,0.023112763999961317,"(slice(33, 43, None), slice(107, 117, None), slice(143, 153, None))"
24,0.116,0.0,0.0,inf,1000,,0,0.012703482003416866,"(slice(290, 300, None), slice(176, 186, None), slice(250, 260, None))"
25,0.116,0.116,0.8252320173054386,1.5618503182867172,1000,,1,0.01881546701770276,"(slice(290, 300, None), slice(176, 186, None), slice(250, 260, None))"
26,0.116,0.0,0.0,inf,1000,,2,0.012821890006307513,"(slice(290, 300, None), slice(176, 186, None), slice(250, 260, None))"
27,0.152,0.0,0.0,inf,1000,,0,0.01265601598424837,"(slice(235, 245, None), slice(107, 117, None), slice(106, 116, None))"
28,0.152,0.152,1.1865820177333872,1.423322504174646,1000,,1,0.019945307984016836,"(slice(235, 245, None), slice(107, 117, None), slice(106, 116, None))"
29,0.152,0.152,1.056012462057245,1.5993077255913448,1000,,2,0.020156976010184735,"(slice(235, 245, None), slice(107, 117, None), slice(106, 116, None))"
30,0.037,0.0,0.0,inf,1000,,0,0.012952955032233149,"(slice(195, 205, None), slice(98, 108, None), slice(165, 175, None))"
31,0.037,0.0,0.0,inf,1000,,1,0.012884099036455154,"(slice(195, 205, None), slice(98, 108, None), slice(165, 175, None))"
32,0.037,0.0,0.0,inf,1000,,2,0.012889971025288105,"(slice(195, 205, None), slice(98, 108, None), slice(165, 175, None))"
33,0.0,0.0,0.0,inf,1000,,0,0.012873129977378994,"(slice(163, 173, None), slice(237, 247, None), slice(107, 117, None))"
34,0.0,0.0,0.0,inf,1000,,1,0.014146866975352168,"(slice(163, 173, None), slice(237, 247, None), slice(107, 117, None))"
35,0.0,0.0,0.0,inf,1000,,2,0.015246534021571279,"(slice(163, 173, None), slice(237, 247, None), slice(107, 117, None))"
36,0.165,0.0,0.0,inf,1000,,0,0.01456370303640142,"(slice(176, 186, None), slice(133, 143, None), slice(140, 150, None))"
37,0.165,0.159,1.0625881516155018,1.6626071577974233,1000,,1,0.022177256003487855,"(slice(176, 186, None), slice(133, 143, None), slice(140, 150, None))"
38,0.165,0.0,0.0,inf,1000,,2,0.013440679991617799,"(slice(176, 186, None), slice(133, 143, None), slice(140, 150, None))"
39,0.0,0.0,0.0,inf,1000,,0,0.013482063019182533,"(slice(104, 114, None), slice(67, 77, None), slice(79, 89, None))"
40,0.0,0.0,0.0,inf,1000,,1,0.01322053896728903,"(slice(104, 114, None), slice(67, 77, None), slice(79, 89, None))"
41,0.0,0.0,0.0,inf,1000,,2,0.013237631996162236,"(slice(104, 114, None), slice(67, 77, None), slice(79, 89, None))"
42,0.186,0.0,0.0,inf,1000,,0,0.013699479983188212,"(slice(4, 14, None), slice(130, 140, None), slice(249, 259, None))"
43,0.186,0.186,1.4831180805741402,1.3934606379194199,1000,,1,0.02152560104150325,"(slice(4, 14, None), slice(130, 140, None), slice(249, 259, None))"
44,0.186,0.186,1.8784533287214087,1.1001959085527921,1000,,2,0.021369651018176228,"(slice(4, 14, None), slice(130, 140, None), slice(249, 259, None))"
