,porosity_orig,porosity_perc,g,tau,volume,length,axis,time,slice
0,0.078,0.0,0.0,inf,1000,,0,0.01933057903079316,"(slice(287, 297, None), slice(46, 56, None), slice(160, 170, None))"
1,0.078,0.0,0.0,inf,1000,,1,0.015480444999411702,"(slice(287, 297, None), slice(46, 56, None), slice(160, 170, None))"
2,0.078,0.078,0.51558814423196,1.680928229949288,1000,,2,0.021595306985545903,"(slice(287, 297, None), slice(46, 56, None), slice(160, 170, None))"
3,0.037,0.0,0.0,inf,1000,,0,0.013337182987015694,"(slice(312, 322, None), slice(81, 91, None), slice(7, 17, None))"
4,0.037,0.0,0.0,inf,1000,,1,0.013231479038950056,"(slice(312, 322, None), slice(81, 91, None), slice(7, 17, None))"
5,0.037,0.0,0.0,inf,1000,,2,0.013521759014111012,"(slice(312, 322, None), slice(81, 91, None), slice(7, 17, None))"
6,0.0,0.0,0.0,inf,1000,,0,0.013339797034859657,"(slice(341, 351, None), slice(208, 218, None), slice(259, 269, None))"
7,0.0,0.0,0.0,inf,1000,,1,0.013936973991803825,"(slice(341, 351, None), slice(208, 218, None), slice(259, 269, None))"
8,0.0,0.0,0.0,inf,1000,,2,0.013581209001131356,"(slice(341, 351, None), slice(208, 218, None), slice(259, 269, None))"
9,0.0,0.0,0.0,inf,1000,,0,0.015105434984434396,"(slice(143, 153, None), slice(153, 163, None), slice(385, 395, None))"
10,0.0,0.0,0.0,inf,1000,,1,0.013782944006379694,"(slice(143, 153, None), slice(153, 163, None), slice(385, 395, None))"
11,0.0,0.0,0.0,inf,1000,,2,0.014744481013622135,"(slice(143, 153, None), slice(153, 163, None), slice(385, 395, None))"
12,0.231,0.218,1.2663707089075642,1.9127276122106096,1000,,0,0.02412791404640302,"(slice(21, 31, None), slice(216, 226, None), slice(22, 32, None))"
13,0.231,0.0,0.0,inf,1000,,1,0.013620749989058822,"(slice(21, 31, None), slice(216, 226, None), slice(22, 32, None))"
14,0.231,0.0,0.0,inf,1000,,2,0.013281933031976223,"(slice(21, 31, None), slice(216, 226, None), slice(22, 32, None))"
15,0.531,0.531,5.321247050199628,1.108762653629972,1000,,0,0.023153732996433973,"(slice(231, 241, None), slice(337, 347, None), slice(215, 225, None))"
16,0.531,0.531,2.373845496768621,2.4854187048109617,1000,,1,0.022338723007123917,"(slice(231, 241, None), slice(337, 347, None), slice(215, 225, None))"
17,0.531,0.531,3.7082501961924934,1.59104690564243,1000,,2,0.0240211840136908,"(slice(231, 241, None), slice(337, 347, None), slice(215, 225, None))"
18,0.0,0.0,0.0,inf,1000,,0,0.012929857010021806,"(slice(277, 287, None), slice(211, 221, None), slice(261, 271, None))"
19,0.0,0.0,0.0,inf,1000,,1,0.012977663020137697,"(slice(277, 287, None), slice(211, 221, None), slice(261, 271, None))"
20,0.0,0.0,0.0,inf,1000,,2,0.012732139963191003,"(slice(277, 287, None), slice(211, 221, None), slice(261, 271, None))"
21,0.0,0.0,0.0,inf,1000,,0,0.012727541965432465,"(slice(67, 77, None), slice(277, 287, None), slice(85, 95, None))"
22,0.0,0.0,0.0,inf,1000,,1,0.012745095998980105,"(slice(67, 77, None), slice(277, 287, None), slice(85, 95, None))"
23,0.0,0.0,0.0,inf,1000,,2,0.012855665991082788,"(slice(67, 77, None), slice(277, 287, None), slice(85, 95, None))"
24,0.06,0.0,0.0,inf,1000,,0,0.012776567018590868,"(slice(387, 397, None), slice(380, 390, None), slice(86, 96, None))"
25,0.06,0.0,0.0,inf,1000,,1,0.012828128004912287,"(slice(387, 397, None), slice(380, 390, None), slice(86, 96, None))"
26,0.06,0.0,0.0,inf,1000,,2,0.012758588010910898,"(slice(387, 397, None), slice(380, 390, None), slice(86, 96, None))"
27,0.09,0.0,0.0,inf,1000,,0,0.012860046001151204,"(slice(247, 257, None), slice(384, 394, None), slice(292, 302, None))"
28,0.09,0.0,0.0,inf,1000,,1,0.01274679001653567,"(slice(247, 257, None), slice(384, 394, None), slice(292, 302, None))"
29,0.09,0.0,0.0,inf,1000,,2,0.012829376035369933,"(slice(247, 257, None), slice(384, 394, None), slice(292, 302, None))"
30,0.823,0.823,7.337768652246632,1.246215965345903,1000,,0,0.02342985401628539,"(slice(39, 49, None), slice(82, 92, None), slice(42, 52, None))"
31,0.823,0.823,6.509792954623639,1.404721242009628,1000,,1,0.02412140602245927,"(slice(39, 49, None), slice(82, 92, None), slice(42, 52, None))"
32,0.823,0.823,8.097284823835505,1.1293223152440526,1000,,2,0.02483641798608005,"(slice(39, 49, None), slice(82, 92, None), slice(42, 52, None))"
33,0.0,0.0,0.0,inf,1000,,0,0.012936837039887905,"(slice(315, 325, None), slice(323, 333, None), slice(12, 22, None))"
34,0.0,0.0,0.0,inf,1000,,1,0.012741248006932437,"(slice(315, 325, None), slice(323, 333, None), slice(12, 22, None))"
35,0.0,0.0,0.0,inf,1000,,2,0.012930171971675009,"(slice(315, 325, None), slice(323, 333, None), slice(12, 22, None))"
36,0.151,0.0,0.0,inf,1000,,0,0.013030841015279293,"(slice(54, 64, None), slice(119, 129, None), slice(366, 376, None))"
37,0.151,0.0,0.0,inf,1000,,1,0.01277606701478362,"(slice(54, 64, None), slice(119, 129, None), slice(366, 376, None))"
38,0.151,0.0,0.0,inf,1000,,2,0.012766062980517745,"(slice(54, 64, None), slice(119, 129, None), slice(366, 376, None))"
39,0.0,0.0,0.0,inf,1000,,0,0.012741743994411081,"(slice(344, 354, None), slice(333, 343, None), slice(248, 258, None))"
40,0.0,0.0,0.0,inf,1000,,1,0.01280772197060287,"(slice(344, 354, None), slice(333, 343, None), slice(248, 258, None))"
41,0.0,0.0,0.0,inf,1000,,2,0.012916533974930644,"(slice(344, 354, None), slice(333, 343, None), slice(248, 258, None))"
42,0.376,0.376,1.2696879480917953,3.290397285456265,1000,,0,0.021215027023572475,"(slice(231, 241, None), slice(133, 143, None), slice(379, 389, None))"
43,0.376,0.376,2.437480973460089,1.7139734928257828,1000,,1,0.021189310995396227,"(slice(231, 241, None), slice(133, 143, None), slice(379, 389, None))"
44,0.376,0.0,0.0,inf,1000,,2,0.01278475800063461,"(slice(231, 241, None), slice(133, 143, None), slice(379, 389, None))"
45,0.139,0.0,0.0,inf,1000,,0,0.012760294019244611,"(slice(188, 198, None), slice(224, 234, None), slice(385, 395, None))"
46,0.139,0.138,0.8952718889036714,1.7127013059809315,1000,,1,0.020234454015735537,"(slice(188, 198, None), slice(224, 234, None), slice(385, 395, None))"
47,0.139,0.0,0.0,inf,1000,,2,0.012773008027579635,"(slice(188, 198, None), slice(224, 234, None), slice(385, 395, None))"
48,0.027,0.0,0.0,inf,1000,,0,0.012741616985294968,"(slice(249, 259, None), slice(75, 85, None), slice(273, 283, None))"
49,0.027,0.0,0.0,inf,1000,,1,0.012825959012843668,"(slice(249, 259, None), slice(75, 85, None), slice(273, 283, None))"
50,0.027,0.0,0.0,inf,1000,,2,0.012946377042680979,"(slice(249, 259, None), slice(75, 85, None), slice(273, 283, None))"
51,0.0,0.0,0.0,inf,1000,,0,0.012863428972195834,"(slice(185, 195, None), slice(48, 58, None), slice(274, 284, None))"
52,0.0,0.0,0.0,inf,1000,,1,0.013745762989856303,"(slice(185, 195, None), slice(48, 58, None), slice(274, 284, None))"
53,0.0,0.0,0.0,inf,1000,,2,0.015113745990674943,"(slice(185, 195, None), slice(48, 58, None), slice(274, 284, None))"
54,0.067,0.066,0.3307468008001725,2.2172046156128715,1000,,0,0.02409411402186379,"(slice(242, 252, None), slice(289, 299, None), slice(378, 388, None))"
55,0.067,0.0,0.0,inf,1000,,1,0.013780080946162343,"(slice(242, 252, None), slice(289, 299, None), slice(378, 388, None))"
56,0.067,0.0,0.0,inf,1000,,2,0.01365501299733296,"(slice(242, 252, None), slice(289, 299, None), slice(378, 388, None))"
