,porosity_orig,porosity_perc,g,tau,volume,length,axis,time,slice
0,0.0,0.0,0.0,inf,1000,,0,0.017550454009324312,"(slice(43, 53, None), slice(202, 212, None), slice(175, 185, None))"
1,0.0,0.0,0.0,inf,1000,,1,0.014887714001815766,"(slice(43, 53, None), slice(202, 212, None), slice(175, 185, None))"
2,0.0,0.0,0.0,inf,1000,,2,0.014739645994268358,"(slice(43, 53, None), slice(202, 212, None), slice(175, 185, None))"
3,0.344,0.344,3.5726461714599096,1.0698574778426286,1000,,0,0.02398469502804801,"(slice(184, 194, None), slice(18, 28, None), slice(205, 215, None))"
4,0.344,0.0,0.0,inf,1000,,1,0.0131481479620561,"(slice(184, 194, None), slice(18, 28, None), slice(205, 215, None))"
5,0.344,0.344,3.6870238713550605,1.0366686942055174,1000,,2,0.021913414006121457,"(slice(184, 194, None), slice(18, 28, None), slice(205, 215, None))"
6,0.0,0.0,0.0,inf,1000,,0,0.013095585978589952,"(slice(101, 111, None), slice(19, 29, None), slice(18, 28, None))"
7,0.0,0.0,0.0,inf,1000,,1,0.012943735986482352,"(slice(101, 111, None), slice(19, 29, None), slice(18, 28, None))"
8,0.0,0.0,0.0,inf,1000,,2,0.012629764038138092,"(slice(101, 111, None), slice(19, 29, None), slice(18, 28, None))"
9,0.405,0.405,3.0026389661591746,1.4986816765907007,1000,,0,0.022064358985517174,"(slice(203, 213, None), slice(11, 21, None), slice(212, 222, None))"
10,0.405,0.405,1.6856571331143062,2.669582035159252,1000,,1,0.022667987970635295,"(slice(203, 213, None), slice(11, 21, None), slice(212, 222, None))"
11,0.405,0.405,3.409424049051847,1.3198710208111073,1000,,2,0.022196841018740088,"(slice(203, 213, None), slice(11, 21, None), slice(212, 222, None))"
12,1.0,1.0,11.111287696696277,0.999984107549909,1000,,0,0.024785587971564382,"(slice(45, 55, None), slice(71, 81, None), slice(184, 194, None))"
13,1.0,1.0,11.111255617324824,0.9999869946099081,1000,,1,0.024911735963542014,"(slice(45, 55, None), slice(71, 81, None), slice(184, 194, None))"
14,1.0,1.0,11.111294128359106,0.9999835287189881,1000,,2,0.025894600024912506,"(slice(45, 55, None), slice(71, 81, None), slice(184, 194, None))"
15,0.0,0.0,0.0,inf,1000,,0,0.012802072043996304,"(slice(83, 93, None), slice(166, 176, None), slice(4, 14, None))"
16,0.0,0.0,0.0,inf,1000,,1,0.012607628013938665,"(slice(83, 93, None), slice(166, 176, None), slice(4, 14, None))"
