,porosity_orig,porosity_perc,g,tau,volume,length,axis,time,slice
0,0.0,0.0,0.0,inf,1000,,0,0.15228970197495073,"(slice(256, 266, None), slice(229, 239, None), slice(76, 86, None))"
1,0.0,0.0,0.0,inf,1000,,1,0.013069372973404825,"(slice(256, 266, None), slice(229, 239, None), slice(76, 86, None))"
2,0.0,0.0,0.0,inf,1000,,2,0.013607722008600831,"(slice(256, 266, None), slice(229, 239, None), slice(76, 86, None))"
3,0.001,0.0,0.0,inf,1000,,0,0.01301358500495553,"(slice(59, 69, None), slice(7, 17, None), slice(148, 158, None))"
4,0.001,0.0,0.0,inf,1000,,1,0.013089305954053998,"(slice(59, 69, None), slice(7, 17, None), slice(148, 158, None))"
5,0.001,0.0,0.0,inf,1000,,2,0.013185602030716836,"(slice(59, 69, None), slice(7, 17, None), slice(148, 158, None))"
6,0.804,0.804,8.325503866995948,1.0730081297237697,1000,,0,0.15773199999239296,"(slice(10, 20, None), slice(90, 100, None), slice(145, 155, None))"
7,0.804,0.804,8.465128817152912,1.0553097922422277,1000,,1,0.02380257600452751,"(slice(10, 20, None), slice(90, 100, None), slice(145, 155, None))"
8,0.804,0.804,3.373630890352126,2.6479877685732562,1000,,2,0.02401389309670776,"(slice(10, 20, None), slice(90, 100, None), slice(145, 155, None))"
9,1.0,1.0,11.111287696696277,0.999984107549909,1000,,0,0.025047303061001003,"(slice(70, 80, None), slice(189, 199, None), slice(42, 52, None))"
10,1.0,1.0,11.111255617324824,0.9999869946099081,1000,,1,0.025156882940791547,"(slice(70, 80, None), slice(189, 199, None), slice(42, 52, None))"
11,1.0,1.0,11.111294128359106,0.9999835287189881,1000,,2,0.02493037492968142,"(slice(70, 80, None), slice(189, 199, None), slice(42, 52, None))"
12,0.0,0.0,0.0,inf,1000,,0,0.013229615055024624,"(slice(26, 36, None), slice(55, 65, None), slice(169, 179, None))"
13,0.0,0.0,0.0,inf,1000,,1,0.0132298250682652,"(slice(26, 36, None), slice(55, 65, None), slice(169, 179, None))"
14,0.0,0.0,0.0,inf,1000,,2,0.01318647398147732,"(slice(26, 36, None), slice(55, 65, None), slice(169, 179, None))"
15,0.32,0.32,2.8132714004170682,1.2638508872725338,1000,,0,0.02128212503157556,"(slice(237, 247, None), slice(118, 128, None), slice(251, 261, None))"
16,0.32,0.32,3.281246419452128,1.0835990660369936,1000,,1,0.021345203975215554,"(slice(237, 247, None), slice(118, 128, None), slice(251, 261, None))"
17,0.32,0.0,0.0,inf,1000,,2,0.013213679078035057,"(slice(237, 247, None), slice(118, 128, None), slice(251, 261, None))"
18,0.12,0.0,0.0,inf,1000,,0,0.013197369989939034,"(slice(227, 237, None), slice(160, 170, None), slice(10, 20, None))"
19,0.12,0.0,0.0,inf,1000,,1,0.013181745074689388,"(slice(227, 237, None), slice(160, 170, None), slice(10, 20, None))"
20,0.12,0.12,1.217166706860707,1.0954401938681357,1000,,2,0.01986377697903663,"(slice(227, 237, None), slice(160, 170, None), slice(10, 20, None))"
21,0.006,0.0,0.0,inf,1000,,0,0.01331207004841417,"(slice(156, 166, None), slice(206, 216, None), slice(234, 244, None))"
22,0.006,0.0,0.0,inf,1000,,1,0.01328178693074733,"(slice(156, 166, None), slice(206, 216, None), slice(234, 244, None))"
23,0.006,0.0,0.0,inf,1000,,2,0.013195857987739146,"(slice(156, 166, None), slice(206, 216, None), slice(234, 244, None))"
24,1.0,1.0,11.111287696696277,0.999984107549909,1000,,0,0.02532537397928536,"(slice(152, 162, None), slice(81, 91, None), slice(3, 13, None))"
25,1.0,1.0,11.111255617324824,0.9999869946099081,1000,,1,0.02492950309533626,"(slice(152, 162, None), slice(81, 91, None), slice(3, 13, None))"
26,1.0,1.0,11.111294128359106,0.9999835287189881,1000,,2,0.024968030978925526,"(slice(152, 162, None), slice(81, 91, None), slice(3, 13, None))"
27,0.0,0.0,0.0,inf,1000,,0,0.013370956061407924,"(slice(28, 38, None), slice(173, 183, None), slice(284, 294, None))"
28,0.0,0.0,0.0,inf,1000,,1,0.01319035398773849,"(slice(28, 38, None), slice(173, 183, None), slice(284, 294, None))"
29,0.0,0.0,0.0,inf,1000,,2,0.013181757065467536,"(slice(28, 38, None), slice(173, 183, None), slice(284, 294, None))"
30,1.0,1.0,11.111287696696277,0.999984107549909,1000,,0,0.024894373957067728,"(slice(12, 22, None), slice(227, 237, None), slice(214, 224, None))"
31,1.0,1.0,11.111255617324824,0.9999869946099081,1000,,1,0.025847673998214304,"(slice(12, 22, None), slice(227, 237, None), slice(214, 224, None))"
32,1.0,1.0,11.111294128359106,0.9999835287189881,1000,,2,0.024587774998508394,"(slice(12, 22, None), slice(227, 237, None), slice(214, 224, None))"
33,0.0,0.0,0.0,inf,1000,,0,0.013273752992972732,"(slice(17, 27, None), slice(39, 49, None), slice(111, 121, None))"
34,0.0,0.0,0.0,inf,1000,,1,0.01332748809363693,"(slice(17, 27, None), slice(39, 49, None), slice(111, 121, None))"
35,0.0,0.0,0.0,inf,1000,,2,0.01325914403423667,"(slice(17, 27, None), slice(39, 49, None), slice(111, 121, None))"
36,0.0,0.0,0.0,inf,1000,,0,0.013708241051062942,"(slice(83, 93, None), slice(149, 159, None), slice(163, 173, None))"
37,0.0,0.0,0.0,inf,1000,,1,0.013605547021143138,"(slice(83, 93, None), slice(149, 159, None), slice(163, 173, None))"
38,0.0,0.0,0.0,inf,1000,,2,0.013332895934581757,"(slice(83, 93, None), slice(149, 159, None), slice(163, 173, None))"
39,0.0,0.0,0.0,inf,1000,,0,0.013499040040187538,"(slice(254, 264, None), slice(164, 174, None), slice(125, 135, None))"
40,0.0,0.0,0.0,inf,1000,,1,0.013704514014534652,"(slice(254, 264, None), slice(164, 174, None), slice(125, 135, None))"
41,0.0,0.0,0.0,inf,1000,,2,0.013516764040105045,"(slice(254, 264, None), slice(164, 174, None), slice(125, 135, None))"
42,0.0,0.0,0.0,inf,1000,,0,0.013342684018425643,"(slice(254, 264, None), slice(265, 275, None), slice(163, 173, None))"
43,0.0,0.0,0.0,inf,1000,,1,0.013286235043779016,"(slice(254, 264, None), slice(265, 275, None), slice(163, 173, None))"
44,0.0,0.0,0.0,inf,1000,,2,0.013256596983410418,"(slice(254, 264, None), slice(265, 275, None), slice(163, 173, None))"
45,0.0,0.0,0.0,inf,1000,,0,0.013414896093308926,"(slice(109, 119, None), slice(190, 200, None), slice(21, 31, None))"
46,0.0,0.0,0.0,inf,1000,,1,0.013375191017985344,"(slice(109, 119, None), slice(190, 200, None), slice(21, 31, None))"
47,0.0,0.0,0.0,inf,1000,,2,0.013350520050153136,"(slice(109, 119, None), slice(190, 200, None), slice(21, 31, None))"
