,volume,porosity
0,3375,0.7671111111111111
1,27000,0.1472962962962963
2,328509,0.11369855924799625
3,262144,0.3270721435546875
4,405224,0.20174027204706532
5,4913,0.0
6,166375,0.3236363636363636
7,21952,0.0
8,68921,0.7054888930804835
9,357911,0.30887846419920034
10,125000,0.176552
11,50653,0.004975026158371666
12,1331,0.0
13,9261,0.18108195659216067
14,262144,0.13462448120117188
15,571787,0.35359670646586927
16,157464,0.07621424579586446
17,185193,0.398902766303262
18,2197,0.11925352753755121
19,21952,9.110787172011662e-05
20,238328,0.056183075425464066
21,314432,0.21102813962955425
22,13824,0.44039351851851855
23,27000,0.19374074074074074
24,421875,0.08302696296296297
25,195112,0.2661701996801837
26,59319,0.045095163438358704
27,117649,0.2003331945022907
28,2197,0.08375056895766955
29,5832,0.1827846364883402
30,148877,0.06075485132021736
31,704969,0.22889375277494473
32,512000,0.207251953125
33,681472,0.19989082456799398
34,804357,0.2068298031844069
35,704969,0.18671601162604312
36,10648,0.39453418482344105
37,438976,0.3832441864703309
38,328509,0.16255566818565093
39,132651,0.10244928421195468
40,2744,0.0
41,912673,0.19632113582849497
42,804357,0.2063001876032657
43,493039,0.16694622534931314
44,778688,0.2367276752691707
45,778688,0.3092316820087121
46,125000,0.35436
47,17576,0.3024010013654984
48,24389,0.0
49,132651,0.3677243292549623
50,328509,0.3707326131095343
51,29791,0.03269443791749186
52,4913,0.5658457154488092
53,42875,0.3983440233236152
54,884736,0.2417319968894676
55,456533,0.27426713950579695
56,110592,0.02654803240740741
57,238328,0.24382363801147997
58,238328,0.1046624819576382
59,35937,0.13267662854439713
60,3375,0.9635555555555556
61,884736,0.20281078197337962
62,373248,0.41774101937585734
63,21952,0.040269679300291544
64,970299,0.2675123853575032
65,103823,0.2798898124692987
66,753571,0.31589989529851864
67,21952,0.2864887026239067
68,226981,0.2280058683325917
69,185193,0.19295545727970279
70,778688,0.2542250554779321
71,6859,0.0001457938474996355
72,551368,0.16883279406857127
73,195112,0.041893886588216
74,857375,0.32900889342469747
75,941192,0.2542403675339357
76,373248,0.25786340449245543
77,729000,0.22407407407407406
78,328509,0.17563902358839484
79,110592,0.2579933449074074
80,274625,0.24471187983614018
81,216000,0.4749351851851852
82,175616,0.04108395590379009
83,24389,0.007585386854729591
84,1331,0.0
85,205379,0.28658723628024285
